Stock Number,Barcode,Name
M6x25 (Holmes),698395654387,M6x25 HT Bolt ZP 8.8
API-DC-3,723104340882,Lever Pin API Coupler
M5x12SS (Brassfti),812507780442,M5x12 Pan Screw S/S
UNC 1/4x1 (Brassfit),585594898368,1/4 UNC x 1 HT Bolt ZP
M5x35 (Brassfit),705399897833,M5x35 HT Bolt ZP 8.8
BSW 5/16x3/4,454594745283,5/16 BSW x 3/4 HD Cap Screw
M6x12 (Brassfit),320101293666,M6x12 HT Bolt ZP 8.8
M6x30,436531161460,M6x30 HT Bolt ZP 8.8
M6x35 CAP,192222589198,M6x35 Allen Cap Screw ZP
M5x35 (Bolt Shop),195807405320,M5x35 HT Bolt ZP 8.8
UNC 1/2 NYLOC (Brassfit),966713935596,1/2 UNC Nyloc Nut
UNC 1/2 NYLOC (MSL),531700647964,1/2 UNC Nyloc Nut
C1780-4,585106894491,M8 Star Washers
UNC 1/4x1 (Hardie),802531843899,1/4 UNC x 1 HT Bolt ZP
UNC 1/2 NYLOC (Steelmasters),884186358632,1/2 UNC Nyloc Nut
OR.124N70,932384236606,Trelor SV80 Retain Cap O Ring
OR.022N90,,O Ring suit Hydraulic Banjo
M5x12SS (Anzor),772172601952,M5x12 Pan Screw S/S
OR.119N90,826110370090,O Ring suit Banjo Bolt
M6x35,847731246736,M6x35 HT Bolt ZP 8.8
M8x16,393190888194,M8x16 HT Bolt ZP 8.8
M8x20 (Brassfit),414140003482,M8x20 HT Bolt ZP 8.8
M6x50,814744756254,M6x50 HT Bolt ZP 8.8
M8x20 (Hardie),797940915628,M8x20 HT Bolt ZP 8.8
UNC 5/16 NYLOC S/S,118346303668,5/16 UNC Nyloc Nut S/S
OR.213N70,428185746785,O Ring NBR 70SH 213
UNC 1/4x3/4 (Brassfit),506828732915,1/4 UNC x 3/4 HT Bolt ZP
OR.026N70,462637032696,1 1/4 x 1/16 O Ring N70
OR.909N90,772495984230,O Ring Hydraulic 909
OR.903N90,218499080127,O Ring Hydraulic 906
UNC 1/4x3/4 (Hardie),619748388974,1/4 UNC x 3/4 HT Bolt ZP
M5 NYLOCSS (Brassfit),840315431383,M5 Nyloc Nut 304 S/S
M6x40,252822180943,M6x40 HT Bolt ZP 8.8
M5 NYLOCSS (Anzor),954659960505,M5 Nyloc Nut 304 S/S
AJ0666/002,956751819258,Door Retainer Rubber Male
M5x25,382240303828,M5x25 HT Bolt ZP 8.8
M10x20 BUTCAP,742158950357,M10x20 Button Head Cap Screws
MFI SS,729412253045,Security Seals
"Travel / Accom, Meals",911570558092,"Travel / Accom, Meals"
Mileage MOBILBrian only,,Mileage/km
OR.214N70,995423413959,O Ring NBR 70 SH
UNC 1/4x3/4CAP (Hardie),679888437647,1/4x3/4 Cap Socket Screw
THST06B (Pipeline),874254806090,Spiral Tie 6mm Black/mtr
THST06B (TWL),443740486301,Spiral Tie 6mm Black/mtr
THST06B (Brassfit),536892349647,Spiral Tie 6mm Black/mtr
UNC 1/4x3/4CAP (MSL),159499356171,1/4x3/4 Cap Socket Screw
UNC 1/4x3/4CAP (Holmes),819149548558,1/4x3/4 Cap Socket Screw
293,204908967198,Split Ring NP 38mm
1923998,,Probe Wire Nexans black 0.52mm/mtr
M6x65,984972303760,M6x65 HT Bolt ZP 8.8
UNC 1/4x3/4CSK,512061828560,1/4 UNC x 3/4 C/Sunk Cap Screw
M4 NYLOCSS,583026002730,M4 Nyloc Nut 304 S/S
M6x20 C/S CAP,629804861681,M6x20 C/Sunk Capscrew
M5x50,499036006539,M5x50 HT Bolt ZP 8.8
UNC 1/4x1CAP (Holmes),730696675023,1/4 UNC Allen Cap Screw
UNC 1/4x1CAP (MSL),247370987259,1/4 UNC Allen Cap Screw
UNC 1/4x1CAP (Hardies),095343609462,1/4 UNC Allen Cap Screw
OR.911N90,513746070998,O Ring Hydraulic 911
OR.910N90,443909657270,O Ring Hydraulic 910
OR.215N70,369952324399,O Ring NBR 70 SH
M8x25 (Brassfit),300699277275,M8x25 HT Bolt ZP 8.8
M8x25 (MSL),905863105070,M8x25 HT Bolt ZP 8.8
E CLIPS (Auto Trail),019184699407,"""1/2"""" ZP E Clip"""
M5x25 CAP,207914955937,M5x25 Cap Screw ZP
E CLIPS (Hardies),969562013894,"""1/2"""" ZP E Clip"""
E CLIPS (Brassfit),705053798433,"""1/2"""" ZP E Clip"""
E CLIPS (MSL),213956126487,"""1/2"""" ZP E Clip"""
M8x25 (Holmes),154988043351,M8x25 HT Bolt ZP 8.8
E CLIPS (Bay Engineers),497222980166,"""1/2"""" ZP E Clip"""
E CLIPS (Holmes),638740662909,"""1/2"""" ZP E Clip"""
OR.125N70,725219683841,Cap O Ring suit SV875 Vent
M8x30 CAP,776504214219,M8x30 Allen Cap Screw ZP
OR.222N70,118424523943,O Ring NBR 70 SH
M6x70,595203310087,M6x70 HT Bolt ZP 8.8
OR.116N90 (Holmes),377885550515,N90 O Ring
OR.116N90 (Seal House),711135730373,N90 O Ring
UNC 5/16x1 1/4 CAP,054215446150,5/16 UNC x 1 1/4 Cap Screw
CAPBUTM820Z,, M8x20 Button Head Cap Screws ZP
UNC 1/4x1/2SS,817517360009,1/4 UNC x 1/2 S/S Machine Screw
R544109-500 (Holmes),262646751902,13mm External Circlip suit Trelor Hatches
R544109-500 (Anzor),288716265684,13mm External Circlip suit Trelor Hatches
OR.011V75,786697051802,O-ring Viton 70SH
BSW 3/16x3/4SS,693232140469,3/16 BSW x 3/4 Bolt S/S
894-349-008 (ECL),503337690248,Roll Pin suit RQ Drybreak
UNC 5/16x3/4 (Brassfit),122405128965,5/16 UNC x 3/4 HT Bolt ZP
886-434-002,953239665597,Screw & Nut rear
UNC 5/16x3/4 (MSL),440817085763,5/16 UNC x 3/4 HT Bolt ZP
UNC 5/16x1 (Brassfit),014247943020,5/16 UNC x 1 HT Bolt ZP
M8x35 CAP (Grossman),215383688934,M8x35 Allen Cap Screw
OR.012V75,467970347071,O Ring Viton 70 SH
OR.014N70 (Holmes),814227192263,O Ring NBR 70SH
OR.914N90,865537192365,O Ring Hydraulic 914
UNC 5/16x1 (Holmes),750805305343,5/16 UNC x 1 HT Bolt ZP
OR.916N90,352580516288,O Ring Hydraulic 916
OR.014N70 (Sealhouse),424731069308,O Ring NBR 70SH
OR.014V75,412466662107,Trelor SV80 Spindle O Ring
UNC 5/16x1 (MSL),433942652946,5/16 UNC x 1 HT Bolt ZP
M5x35SS,616754162393,M5x35 304 S/S Bolt
M8x35,889981849600,M8x35 HT Bolt ZP 8.8
P0159,158388413536,O Ring small suit Spindle
OR.113N70 (P0288),268041495222,O Ring Camshaft (Handle)
P0288 (Liquip),692311368069,O Ring Camshaft (Handle)
M5x60,198664639166,M5x60 HT Bolt ZP 8.8
P4352,505870309314,Stainless E Clip PVV204
OR.912N90,965751780030,O Ring Hydraulic 912
OR.113N70 (Holmes),737058121786,O Ring Camshaft (Handle)
P0235,628780595032,Shaft O Ring Viton API513
P0288 (OR.113N70 SealHouse),667773167505,O Ring Camshaft (Handle)
15757(Mt),216496646152,Adding Machine Roll 57mm x 57mm 1 ply
M10x20 CAP,352302085551,M10x20 Allen Cap Screw
OR.110N70 (Sealhouse),894610598809,O Ring 3/8x9/16x1/16
OR.110N70 (Holmes),410388358836,O Ring 3/8x9/16x1/16
OR.227N70,910876819293,O Ring NBR 70SH 227
M6x35 CSK CAP,827565208326,M6x35 CXK Cap Screw Z/P
Mileage ALL,,Mileage/km
BSW 1/2NYLOC (Brassfit),065726646448,BSW 1/2 Nyloc
BSW 1/2NYLOC (MSL),792419106761,BSW 1/2 Nyloc
M8x40,942094030365,M8x40 HT Bolt ZP 8.8
RS2400026 (Mt),770558693035,Ladder Gasket
OR.022V75,186747061809,ORing Viton
RCETM007,151001520842,PVV204 Rollover Poppet & Clip
TWL CS3.0,713214231100,Cable Single 3mm/mtr
P0152 (MSL),438755623687,Nyloc Nut
P0152 (Holmes),372375806395,Nyloc Nut
P1040,339546926411,Washer
P0152 (Liquip),290340393793,Nyloc Nut
BSW 1/2NYLOC (Hardies),903263380397,BSW 1/2 Nyloc
6116-4,880379156592,Todo Stainless Set Screw Item 2
5104,221819107472,"""R Clip ZP 4mm wire, 79mm long"
BSW 5/16x1,254086851908,5/16 BSW x 1 HD Cap Screw
M6x75,189294362972,M6x75 HT Bolt ZP 8.8
PINS 25MM,476488922252,25mm Camlock Pins S/S
S12 (UES),992805488001,R Clip 4mm
S12 (TWL),035420789284,R Clip 4mm
D6321,948099333048,Capseal 50mm Sealed & Protected
CAPBUTM825Z,846474961745,M8x25 Button Head Cap Screws ZP
S2 (TWL),595558752160,Lynch Pin 1/4
S2 (UES),837722515801,Lynch Pin 1/4
OR.116N75,227435158368,O-Ring Viton 70 SH 116
M6x40 CSK CAP,662732937400,M6x40 CSK Cap Screw Z/P
CAPBUTM625Z,345980765437,M6x25 Buttonhead Cap Screws
BSW 5/16x1 1/4,398682935621,5/16 BSW x 1 1/4 HD Cap Screw AP
M8x50 (Brass-fit),697512770402,M8x50 HT Bolt ZP 8.8
P0148 (Brassfit),504562856277,1/4 Nylock Nut
OR.210N70,775551915467,OPW API Handle O Ring Large
